fbid,timestamp,creation_date,year
100005313200000,1361330314,19/02/2013,2013
100004973200000,1357606484,07/01/2013,2013
100004742200000,1354021840,27/11/2012,2012
100004735500000,1353417806,20/11/2012,2012
100004684300000,1352662415,11/11/2012,2012
100004601500000,1350999158,23/10/2012,2012
100003552300000,1349467776,05/10/2012,2012
100004078500000,1343717040,30/07/2012,2012
100004114300000,1342928040,21/07/2012,2012
100003894500000,1338526722,31/05/2012,2012
100003603200000,1331873652,15/03/2012,2012
100003113300000,1320583505,06/11/2011,2011
100003102400000,1320464096,04/11/2011,2011
100002983400000,1318571069,13/10/2011,2011
100002934500000,1315974235,13/09/2011,2011
100002604200000,1309652553,02/07/2011,2011
100002328000000,1306728328,29/05/2011,2011
100002458200000,1304995827,09/05/2011,2011
100002373200000,1303537065,22/04/2011,2011
100002241300000,1302326877,08/04/2011,2011
100002232800000,1300810582,22/03/2011,2011
100001935200000,1295628516,21/01/2011,2011
100001424100000,1285972221,01/10/2010,2010
100001386100000,1281882953,15/08/2010,2010
100001443600000,1280116994,25/07/2010,2010
100001211700000,1276055448,08/06/2010,2010
100001069700000,1274090432,17/05/2010,2010
100001042500000,1272438522,28/04/2010,2010
100000860000000,1268201411,09/03/2010,2010
100000811300000,1267667333,03/03/2010,2010
100000628600000,1266618961,19/02/2010,2010
100000618900000,1263726284,17/01/2010,2010
100000644900000,1262406605,01/01/2010,2010
100000329800000,1261112448,17/12/2009,2009
100000565100000,1259793952,02/12/2009,2009
100000542600000,1259605238,30/11/2009,2009
100000507200000,1258400669,16/11/2009,2009
100000466800000,1257502719,06/11/2009,2009
100000228600000,1252567838,10/09/2009,2009
100000116000000,1250562107,17/08/2009,2009
100000156800000,1250382196,15/08/2009,2009
100001566600000,1283288400,01/09/2010,2010
100005313500000,1362520800,06/03/2013,2013
100006325900000,1372626000,01/07/2013,2013
100006784700000,1377982800,01/09/2013,2013
100006911000000,1383256800,01/11/2013,2013
100007452700000,1388527200,01/01/2014,2014
100007726300000,1391205600,01/02/2014,2014
100007846300000,1393106400,23/02/2014,2014
